ID;Category;Location;Name
323;1;29;Kilopumpkin
324;4;29;Angel Bream
325;4;29;Gentleclam
326;4;29;Sky Mole
327;4;29;Blade Bird
328;4;29;Palmtop Elephant
329;7;29;Half Part
330;7;29;Snare Wire
331;7;29;Subzero Steel
332;7;29;Blaze Chain
333;7;29;Congenial Cogs
334;8;29;Swirly Slash
335;8;29;Hero Nipper
336;8;29;Highlightning
337;8;29;Dubious Sculpture
338;8;29;Shimmertumble
339;3;30;Mystic Dahlia
340;2;30;Cool Lemon
341;2;30;Heart Peach
342;3;30;Stardrop
343;8;30;Ha Ha Ha
344;8;30;Thunder Atmos
345;4;30;Nanoceros
346;4;30;Mane Cat
