ID;Name;Comments;Comments
171;Heartbreaking;Show your stupid and senseless side in a Heart-to-Heart.;Had a Heart-to-Heart go as badly as possible.
172;Pouring Out Your Heart;Have a hearty number of Heart-to-Hearts.;Had 20 Heart-to-Hearts.
173;The Heart of the Matter;Have a whole hoard of Heart-to-Hearts.;Had 40 Heart-to-Hearts.
174;Ace of Hearts;Poured your heart out in every possible Heart-to-Heart.;Had every possible Heart-to-Heart.
175;Blossoming Friendship;Let two of your party members develop a deeper Affinity.;Improved the Affinity between two party members.
176;Unshakeable Trust;Improve two party members' Affinity even more.;Improved two party members' Affinity still further.
177;Unbreakable Bond;Let two party members form a truly deep connection.;Formed the deepest Affinity between two party members.
178;Get the Party Started;Improve the relationships amongst your entire party.;Deepened the Affinity between all party members.
179;Party's in Full Swing;Form the closest-knit party imaginable.;Formed the deepest Affinity between all party members.
180;Problem Solved!;Accept and complete a quest.;Completed a quest for the first time.
181;Helpful Stranger;Complete a quantity of quests.;Completed 10 quests (excluding story quests).
182;Generous Friend;Complete quite a quantity of quests.;Completed 100 quests (excluding story quests).
183;Charitable Ally;Complete quests by the questload.;Completed 200 quests (excluding story quests).
184;Selfless Giver;Complete quillions of quests.;Completed 300 quests (excluding story quests).
185;Shaping History;???;Changed someone's life through your actions.
186;Treasure Trove;Obtain a veritable trove of Treasure Chests.;Obtained 1000 Rare or Super Rare Treasure chests.
187;Equivalent Exchange;Conduct a trade with someone.;Successfully traded items with someone.
188;Tradesman;Trade like a pro with plenty of people.;Traded items 20 times.
189;Master Tradesman;Transact a titanic truckload of trades.;Traded items 100 times.
190;Mysterious Mantis;Trade to get a Minute Mantis.;Obtained a Minute Mantis through trading.
191;Shining Impracticality;Trade to get a Golden Cog.;Obtained a Golden Cog through trading.
192;Indigo Belligerence;Trade to get a Love Beetle.;Obtained a Love Beetle through trading.
193;Stormy Outlook;Trade to get a Thunder Compass.;Obtained a Thunder Compass through trading.
194;Angelic Imitation;Trade to get an Angel Engine Y.;Obtained an Angel Engine Y through trading.
195;Drawing a Crowd;Make a decent start on building up Colony 6's population.;Increased the population of Colony 6 to 50 people.
196;Building a Community;Build up Colony 6's population to a greater degree.;Increased the population of Colony 6 to 100 people.
197;Bursting at the Seams;Help Colony 6 build up a thriving community.;Filled up Colony 6 with a population of 150 people.
198;A Fixer-Upper;Start work on reconstructing Colony 6.;Started reconstructing Colony 6.
199;A Fix on the Solution;Get the reconstruction of Colony 6 well underway.;Made good progress in reconstructing Colony 6.
200;Good and Fixed;Restore Colony 6 to its former glory.;Finished reconstructing Colony 6. Amazing!
